DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, FEATURE_SELECTION, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
bookkeeper,2,46.47160068846816,IBk,Undersampling,0.9065265486725663,0.7169728783902012,0.731422643806951,0.284674577895538,1639.0,169.0,344.0,647.0
bookkeeper,3,55.25179856115108,IBk,Undersampling,0.7357001972386588,0.9376571141277024,0.6585836297165273,0.13808317102626919,1865.0,670.0,140.0,124.0
bookkeeper,4,64.31014823261117,IBk,Undersampling,0.8200934579439252,0.8904109589041096,0.7863164826149379,0.4616467719640663,1755.0,385.0,461.0,216.0
bookkeeper,5,63.08724832214765,IBk,Undersampling,0.9820478723404256,0.7985942146526088,0.856844399283642,0.2652934980689814,2954.0,54.0,207.0,745.0
bookkeeper,6,72.0,IBk,Undersampling,0.9805825242718447,0.9108946608946609,0.6362491124395886,0.04637887977167376,2525.0,50.0,13.0,247.0
bookkeeper,1,51.96506550218341,Random Forest,Oversampling,0.7142857142857143,0.5407801418439716,0.589771860131071,0.1412413171321435,305.0,122.0,194.0,259.0
bookkeeper,2,62.665066026410564,Random Forest,Oversampling,0.912718204488778,0.7204724409448819,0.7519037505180274,0.3031231406109555,732.0,70.0,158.0,284.0
bookkeeper,3,76.80835197613722,Random Forest,Oversampling,0.735216240070609,0.9423076923076923,0.6906202865761689,0.13707401522517604,833.0,300.0,60.0,51.0
bookkeeper,4,82.46498599439776,Random Forest,Oversampling,0.829393627954779,0.9212328767123288,0.818224460798601,0.5178713056245616,807.0,166.0,210.0,69.0
bookkeeper,5,81.26064735945485,Random Forest,Oversampling,0.9767272727272728,0.8169099756690997,0.8442166918365634,0.2604108828428652,1343.0,32.0,84.0,301.0
bookkeeper,6,89.66196258615031,Random Forest,Oversampling,0.9783923941227312,0.9188311688311688,0.6438427643784786,0.011249780277729302,1132.0,25.0,3.0,100.0
bookkeeper,1,51.96506550218341,Naive Bayes,Oversampling,0.7116279069767442,0.4340425531914894,0.5765688122811743,0.10417315478044226,306.0,124.0,271.0,399.0
bookkeeper,2,62.665066026410564,Naive Bayes,Oversampling,0.908745247148289,0.752755905511811,0.7565741124464705,0.320765370806388,956.0,96.0,189.0,314.0
bookkeeper,3,76.80835197613722,Naive Bayes,Oversampling,0.7325905292479109,0.9520361990950226,0.677008547008547,0.12621914760928127,1052.0,384.0,66.0,53.0
bookkeeper,4,82.46498599439776,Naive Bayes,Oversampling,0.810126582278481,0.9351598173515981,0.7970863693772466,0.4730668254526755,1024.0,240.0,230.0,71.0
bookkeeper,5,81.26064735945485,Naive Bayes,Oversampling,0.976770538243626,0.8389294403892944,0.8587347931873479,0.28825498978127595,1724.0,41.0,104.0,331.0
bookkeeper,6,89.66196258615031,Naive Bayes,Oversampling,0.9788540245566166,0.9318181818181818,0.6557513914656772,0.022676461194505757,1435.0,31.0,4.0,105.0
bookkeeper,1,51.96506550218341,IBk,Oversampling,0.71,0.41962174940898345,0.5750216955441841,0.09798865394533268,355.0,145.0,329.0,491.0
