"DATASET"," #TRAINING_RELEASES"," %TRAINING_INSTANCES"," CLASSIFIER"," FEATURE_SELECTION"," PRECISION"," RECALL"," AUC"," KAPPA"," TP"," FP"," TN"," FN"
"openjpa","14","95.27330587794833","Random Forest","SMOTE","0.9874692142026632","0.9640924092409241","0.8926238087629012","0.4320845708317663","14606","0","0","544"
"openjpa","1","65.37797721781153","Naive Bayes","SMOTE","0.9522860738255033","0.8838816429822853","0.7035869994816597","0.19611007196833777","9081","455","304","1193"
"openjpa","2","78.86792452830188","Naive Bayes","SMOTE","0.9575978900385473","0.9149059895328552","0.798939565958368","0.29148063781321143","9440","418","352","878"
"openjpa","3","84.31049955130122","Naive Bayes","SMOTE","0.9839539812291855","0.8749887821951","0.8154884118942272","0.18918439733972695","9750","159","237","1393"
"openjpa","4","88.37638376383764","Naive Bayes","SMOTE","0.9628134909195734","0.9538315088053307","0.7696353039433154","0.2686937465368089","10020","387","196","485"
"openjpa","5","90.07339104252917","Naive Bayes","SMOTE","0.980846968238691","0.9047407670454546","0.7708022652292722","0.14320191540303215","10191","199","142","1073"
"openjpa","6","91.67718523193436","Naive Bayes","SMOTE","0.9725125418060201","0.8317690176097255","0.6373538706709727","0.07072810468735188","9305","263","155","1882"
"openjpa","7","92.82849568350214","Naive Bayes","SMOTE","0.9446405350176481","0.9434137291280148","0.6910092764378478","0.21927138623156817","10170","596","229","610"
"openjpa","8","2.503591216909501","Naive Bayes","SMOTE","0.7427352328567673","0.8313678444509836","0.7738638915287753","0.4663146601126715","36729","12722","21358","7450"
"openjpa","9","93.2295719844358","Naive Bayes","SMOTE","0.9235633546755198","0.920434851110761","0.749858191239216","0.3344923036682846","11684","967","694","1010"
"openjpa","10","95.25979517053463","Naive Bayes","SMOTE","0.9020602862072465","0.9181818181818182","0.7290305272599141","0.25119312765230406","8888","965","454","792"
"openjpa","11","3.9528498390456352","Naive Bayes","SMOTE","0.7936054765134547","0.8500253421186011","0.7854438183308929","0.4893176608053725","50313","13085","22030","8877"
"openjpa","12","94.43343747618685","Naive Bayes","SMOTE","0.9642058165548099","0.9437956204379562","0.8246510954208366","0.36241188977450106","14223","528","473","847"
"openjpa","13","94.81262055662717","Naive Bayes","SMOTE","0.975319542303462","0.8925510080888567","0.8461056283837352","0.3751999932818803","14786","0","0","1780"
"openjpa","14","95.27330587794833","Naive Bayes","SMOTE","0.9875921200987361","0.9615361536153615","0.8923394712704291","0.41958373629761145","16024","0","0","641"
"openjpa","1","65.37797721781153","IBk","SMOTE","0.953920220082531","0.8662562455389008","0.708272074036144","0.19024439071336616","9709","469","359","1499"
"openjpa","2","78.86792452830188","IBk","SMOTE","0.9575096988730833","0.9209310589907604","0.8048023593765865","0.3018244505099841","10366","460","380","890"
"openjpa","3","84.31049955130122","IBk","SMOTE","0.9839646115565386","0.8783316880552814","0.8180257729760033","0.19357116049217307","10677","174","258","1479"
"openjpa","4","88.37638376383764","IBk","SMOTE","0.9627416520210896","0.956020942408377","0.7685687570658676","0.27312964286824365","10956","424","212","504"
"openjpa","5","90.07339104252917","IBk","SMOTE","0.9809213996834887","0.907958984375","0.7745821826346886","0.14814269062174723","11157","217","155","1131"
"openjpa","6","91.67718523193436","IBk","SMOTE","0.9717791411042945","0.8436578171091446","0.6195740575422496","0.0696563532004247","10296","299","157","1908"
"openjpa","7","92.82849568350214","IBk","SMOTE","0.9438096862210096","0.9412414965986394","0.6789161470143613","0.20564318222380804","11069","659","241","691"
"openjpa","8","2.503591216909501","IBk","SMOTE","0.7507311199036641","0.7873122088827659","0.7663367110870792","0.4743475576360124","48004","15939","34605","12968"
"openjpa","9","93.2295719844358","IBk","SMOTE","0.9223398890569844","0.9245378393991912","0.7429275495668519","0.3322446364747911","12803","1078","734","1045"
"openjpa","10","95.25979517053463","IBk","SMOTE","0.902373447061005","0.921685606060606","0.7287998076697204","0.2574940679219997","9733","1053","495","827"
"openjpa","11","3.9528498390456352","IBk","SMOTE","0.8002890926755291","0.8177283843006222","0.7844036577218343","0.4984666348036066","67546","16856","35425","15056"
"openjpa","12","94.43343747618685","IBk","SMOTE","0.9639555803709907","0.9451338199513382","0.8175151845316079","0.3632404142784469","15538","581","511","902"
"openjpa","13","94.81262055662717","IBk","SMOTE","0.9733924174502831","0.8939243027888446","0.8431463116933842","0.37542957503423984","16155","0","0","1917"
"openjpa","14","95.27330587794833","IBk","SMOTE","0.9865017239332064","0.9633663366336633","0.9012610861487395","0.4158725061912737","17514","0","0","666"
